author,rank,contributions
jeremy beiler,869,14
tim gray,870,14
yael averbuch,871,14
bill keller,872,14
tobin harshaw,873,13
fred bernstein,874,13
malia wollan,875,13
dallas jensen,876,13
julie satow,877,13
serge kovaleski,878,13
rob sass,879,13
seth berkman,880,13
gerry shih,881,13
scott heller,882,13
bucks editors,883,13
david colman,884,13
nancy macdonell,885,13
alicia parlapiano,886,13
larry edsall,887,13
kaitlyn mullin,888,13
noah rosenberg,889,13
kate galbraith,890,13
elizabeth jensen,891,13
tom zeller,892,13
edward rothstein,893,13
alina tugend,894,13
sheri fink,895,13
pamposh raina,896,13
antoinette martin,897,13
aidan gardiner,898,13
christopher schuetze,899,13
david bornstein,900,13
joanne kaufman,901,13
charles duhigg,902,13
susan lehman,903,13
todd woody,904,13
derek willis,905,13
jene bramel,906,13
michael luo,907,13
daniel mcdermon,908,13
adam sternbergh,909,13
richard stevenson,910,13
maria russo,911,12
nick kurczewski,912,12
alexander lobrano,913,12
susan dominus,914,12
judy dempsey,915,12
allison kopicki,916,12
erin mccann,917,12
alfredo piola,918,12
susan hodara,919,12
john anderson,920,12
william glaberson,921,12
robert simonson,922,12
danielle ivory,923,12
tina turnbow,924,12
abigail zuger,925,12
mohammed ibrahim,926,12
mathew warren,927,12
diane daniel,928,12
teresa tritch,929,12
vivian toy,930,12
thomas lin,931,12
margaret lyons,932,12
joseph plambeck,933,12
emily palmer,934,12
craig o'shannessy,935,12
peter keepnews,936,12
jim witkin,937,12
glenn thrush,938,12
dan saltzstein,939,12
scott reyburn,940,12
marcus mabry,941,12
melissa hoppert,942,12
pradeep mutalik,943,12
joanna berendt,944,12
henry alford,945,12
barbara taylor,946,12
beckley mason,947,12
chuck klosterman,948,12
richard beales,949,12
sam schembari,950,12
paul lim,951,12
verlyn klinkenborg,952,12
jennifer gee,953,12
alison cowan,954,12
abby ellin,955,12
lisa sanders,956,12
neha thirani,957,12
joe brescia,958,12
dalia sussman,959,11
micheline maynard,960,11
michelle innis,961,11
jim kerstetter,962,11
jack styczynski,963,11
rob cox,964,11
howard goldberg,965,11
matt siegel,966,11
betwa sharma,967,11
dan mihalopoulos,968,11
tim murphy,969,11
agnes crane,970,11
jodi kantor,971,11
alex williams,972,11
virginia heffernan,973,11
emily ramshaw,974,11
jessica bruder,975,11
jennifer cutraro,976,11
aileen jacobson,977,11
matt v,978,11
cecilia kang,979,11
neeti upadhye,980,11
justin wolfers,981,11
ezekiel emanuel,982,11
benjamin genocchio,983,11
emily brennan,984,11
alexandra levine,985,11
jenny woodward,986,11
jonathan soble,987,11
karly sadof,988,11
peter goodman,989,11
new times,990,11
chloe veltman,991,11
john grossmann,992,11
mary murphy,993,11
niko koppel,994,11
liz spayd,995,11
yasir ghazi,996,11
sarah moroz,997,11
fares akram,998,11
taimoor shah,999,10
alainna beddie,1000,10
josh kron,1001,10
susan stellin,1002,10
brian knowlton,1003,10
tyler cowen,1004,10
frank jacobs,1005,10
liesl schillinger,1006,10
brooke hodge,1007,10
angela koh,1008,10
edward schneider,1009,10
sandra ballentine,1010,10
chris wallace,1011,10
r. dickey,1012,10
emily denitto,1013,10
william yong,1014,10
eilene zimmerman,1015,10
doug aitken,1016,10
j. hoberman,1017,10
robert gebeloff,1018,10
dave seminara,1019,10
elena schneider,1020,10
karen workman,1021,10
aubrey belford,1022,10
kathryn branch,1023,10
kriston lewis,1024,10
shuaib almosawa,1025,10
noam scheiber,1026,10
todd heisler,1027,10
matt wolf,1028,10
mike kurylo,1029,10
nazila fathi,1030,10
perri klass,1031,10
a. lee,1032,10
jim cavan,1033,10
rusha haljuci,1034,10
huw richards,1035,10
alexandra jacobs,1036,10
jacob brown,1037,10
naila-jean meyers,1038,10
randy cohen,1039,10
dorothy samuels,1040,10
gary gutting,1041,10
a. chavar,1042,10
jennifer kingson,1043,10
luis deloureiro,1044,10
steven rattner,1045,10
patricia brooks,1046,10
adam davidson,1047,10
denny lee,1048,10
suzanne daley,1049,10
justin kubatko,1050,10
marnie hanel,1051,10
stefania rousselle,1052,10
steven solomon,1053,10
bree feng,1054,10
maud newton,1055,9
dan morrison,1056,9
dave philipps,1057,9
kevin mcgarry,1058,9
paulina villegas,1059,9
victoria burnett,1060,9
filippo mutani,1061,9
adam sinding,1062,9
kasia bobula,1063,9
larry ferlazzo,1064,9
louis bayard,1065,9
por casey,1066,9
matt gross,1067,9
brian sciaretta,1068,9
joumana khatib,1069,9
sophia kishkovsky,1070,9
sarah smith,1071,9
erika allen,1072,9
anne eisenberg,1073,9
