Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Street Transit,41809,13582.885,717.1899999999999,23429.975,8701.195,0.37137022126570773
Street Transit,23080,11467.599999999999,682.855,19726.165,7325.09,0.37133877770970686
Street Transit,54218,9001.994999999999,460.24,15439.055,5730.895,0.37119467480360685
Street Transit,36569,15148.09,1427.04,26980.05,10012.52,0.3711082818601152
Street Transit,28933,16828.66,2460.34,31245.545,11589.425,0.37091447756792206
Street Transit,10459,21808.35,1480.3066666666666,37871.13333333333,14044.766666666665,0.3708567827386558
Street Transit,27424,11100.47,1132.86,19889.06,7374.67,0.370790273647925
Street Transit,24214,9880.015,1122.22,18330.455,6796.52,0.3707774847923851
Street Transit,3903,12568.199999999999,715.5833333333334,21548.773333333334,7985.753333333333,0.37058969481944215
Street Transit,48853,16410.47,2113.45,30795.94,11412.46,0.37058326519664603
Street Transit,13679,13661.92,2059.35,25244.15,9354.04,0.37054287825100074
Nursing,23142,5459.2,495.81,9459.63,3504.62,0.3704817207438346
Street Transit,52462,26748.65,2193.31,46428.27,17188.55,0.3702173266417207
Street Transit,54013,43315.115000000005,2561.195,74637.105,27617.23,0.3700201126504036
Public Service Aide,52823,24541.34,2232.775,42653.205,15774.395,0.3698290667723563
Street Transit,13867,16964.105,1222.06,29702.195,10979.035,0.3696371598125997
Street Transit,3652,32879.37,1797.17,55775.27,20615.26,0.3696129126761735
Street Transit,47850,9149.31,1362.025,17372.125,6418.405,0.3694657389352195
Street Transit,35496,34271.49,1917.67,58418.37,21575.59,0.36932886008288146
Street Transit,50856,8572.185000000001,490.59499999999997,14776.8475,5455.2474999999995,0.36917532646932977
Public Service Aide,17054,25542.213333333333,6353.719999999998,51073.60333333333,18854.453333333335,0.36916238727624534
Street Transit,47930,24829.733333333334,1341.5366666666666,42479.153333333335,15675.81,0.36902359792795614
Street Transit,52496,29805.85,1572.86,51324.96,18936.06,0.36894446678575105
Street Transit,13619,25198.73,2570.15,45924.36,16943.28,0.368938837688756
Street Transit,29124,18066.04,1860.83,33123.11,12215.735,0.36879794801876997
Street Transit,46297,39481.676666666666,2043.4566666666667,67795.74,25002.600000000002,0.3687930834592262
Street Transit,26096,34398.84,1895.35,58495.22,21571.91,0.36878073114350196
Street Transit,972,31351.575000000004,2238.6949999999997,54360.56,20045.685,0.36875420341512305
Street Transit,54619,18086.420000000002,1288.555,31342.91,11556.835000000001,0.36872246386822416
Street Transit,37748,33271.46,1856.54,56915.15,20981.29,0.36864156555855515
Agriculture & Horticulture,6693,8290.3,1111.265,15565.210000000001,5737.045,0.36858127837658466
Public Service Aide,38969,24097.0,5558.3975,48942.51,18036.4775,0.36852375368570184
Street Transit,3567,22548.51,1256.825,38567.195,14212.869999999999,0.36852226354548206
Street Transit,23,13302.013333333334,1214.4966666666667,24467.47,9014.073333333334,0.3684105194911175
Street Transit,40838,10907.85,660.105,18647.675000000003,6869.04,0.3683590581667687
Street Transit,12889,22138.39,2767.36,40192.44,14805.14,0.36835633765952003
Street Transit,37145,5531.78,1188.56,10662.79,3925.98,0.3681944406670299
Street Transit,10225,37512.16,2197.26,64258.56,23655.62,0.3681318099876499
Street Transit,35356,9809.17,544.69,16569.3,6099.42,0.3681157321069689
Street Transit,22511,1201.175,113.54,2080.45,765.7349999999999,0.3680621980821457
Street Transit,8500,32817.47,1763.15,56357.61,20734.61,0.3679114497580717
Street Transit,34185,35059.65,2181.97,59952.5,22055.34,0.3678802385221634
Street Transit,10957,33009.58,2019.39,56254.33,20692.79,0.36784350644652597
Street Transit,28389,19160.51,1252.66,33133.285,12186.220000000001,0.36779389668123763
Street Transit,52199,31170.89,2481.1850000000004,53997.245,19856.075,0.36772385331881285
Street Transit,23619,33159.51,2213.7,56755.98,20866.29,0.36764918868461083
Street Transit,5385,23860.653333333332,1341.7033333333334,40663.87666666667,14940.04,0.3674032390582862
Street Transit,17991,12273.885,2078.885,23196.04,8521.53,0.36737003385060557
Street Transit,49936,15477.369999999999,2243.125,28680.055,10536.06,0.36736540428531256
Street Transit,2317,33384.51,2409.77,57094.6,20964.81,0.36719427056148923
Street Transit,54530,15536.103333333333,1411.2533333333333,27334.533333333336,10028.656666666668,0.36688596598198125
Street Transit,12893,33637.89,1895.21,57137.1,20961.88,0.3668698621386105
Public Service Aide,27319,21239.563333333335,6408.326666666667,44265.19666666666,16239.506666666668,0.36686850820874406
Street Transit,15185,20148.114999999998,2011.7250000000001,36114.42,13247.365,0.36681649601461136
Street Transit,40697,756.92,170.31,1464.29,537.06,0.36677160944894793
Street Transit,19436,32827.96,2288.15,56214.73,20614.3,0.3667063774921626
Street Transit,29325,45970.235,2314.005,78306.34,28700.975,0.36652172735949606
Street Transit,51958,29542.025,2614.41,51336.7,18813.505,0.36647281574390256
Street Transit,19645,21911.76,2205.67,38921.33,14262.69,0.3664491937968204
Street Transit,3396,32468.84,2641.5866666666666,56479.96,20692.353333333333,0.3663662887391091
Street Transit,3918,32845.11000000001,2732.6366666666668,57156.43333333333,20939.583333333332,0.36635566833246536
Street Transit,16141,25639.280000000002,1314.46,43428.064999999995,15907.14,0.36628710028871886
Street Transit,43083,28692.08,1774.06,49057.75,17968.57,0.3662738303326182
Street Transit,55088,16424.66,877.62,28043.33,10269.95,0.3662172074429107
Street Transit,25422,11285.814999999999,1726.3,21233.370000000003,7774.53,0.3661467774545444
Street Transit,41054,6083.96,1382.77,11818.77,4326.85,0.36609985641483844
Street Transit,20555,34687.52,2487.76,59803.05,21892.27,0.36607280063475023
Street Transit,22118,36021.5,2511.1,61990.44,22687.52,0.36598417433397795
Correction & Detention,14725,5868.0,444.5,10038.8,3673.47,0.36592720245447663
Street Transit,49854,35887.95,2687.44,61745.77,22589.76,0.3658511344177909
Street Transit,45970,18901.92,1581.465,32671.43,11952.83,0.3658496123371398
Street Transit,45011,32078.965000000004,1646.6150000000002,54805.659999999996,20050.48,0.3658468851574819
Street Transit,4088,20977.019999999997,2471.995,38294.965,14005.115,0.36571687687924515
Public Service Aide,54956,22192.423333333336,6989.416666666667,46595.47,17039.04,0.3656801830735906
Street Transit,34907,15819.29,2745.795,30134.399999999998,11019.085,0.3656646556759053
Med Therapy & Auxiliary,6059,18638.809999999998,1251.95,32712.455,11959.564999999999,0.36559668175317317
Street Transit,52664,13591.61,710.02,22789.69,8331.35,0.3655753983489903
Street Transit,11395,33172.64333333333,1961.6933333333334,56025.95333333333,20480.203333333335,0.3655485023429023
Street Transit,22421,27708.21,2489.95,48932.415,17886.27,0.3655300887969662
Street Transit,8314,3784.62,879.93,7351.45,2686.9,0.365492521883438
Street Transit,7558,19414.306666666667,1134.48,33500.136666666665,12243.72,0.365482688080576
Street Transit,43517,32845.19,2213.22,55840.23,20404.1,0.3654014319067095
